# Japanese/variant form -> Simplified Chinese, derived from OpenCC ver.1.1.7 JPVariants.txt
# (inverted, adjudicated: rows whose variant form is itself a valid simplified character were
# dropped; supplements 尅疎鉱鑛 added). Source data Apache-2.0, see LICENSE-OpenCC.
両	两
乗	乘
亀	龟
亜	亚
仏	佛
仮	假
伝	传
価	价
倹	俭
偽	伪
児	儿
円	圆
処	处
剣	剑
剤	剂
剰	剩
労	劳
効	效
勅	敕
勧	劝
勲	勋
単	单
厠	厕
厳	严
収	收
呉	吴
呪	咒
唖	哑
営	营
噛	啮
団	团
囲	围
図	图
圏	圈
圧	压
塁	垒
塩	盐
増	增
壊	坏
壌	壤
壱	壹
売	卖
変	变
奨	奖
嬢	娘
実	实
寛	宽
対	对
専	专
尅	克
巌	岩
巣	巢
巻	卷
帯	带
帰	归
庁	厅
広	广
廃	废
弐	贰
弾	弹
従	从
徳	德
徴	征
応	应
恵	惠
悩	恼
悪	恶
懐	怀
戦	战
戸	户
戻	戾
払	拂
抜	拔
択	择
拝	拜
拠	据
拡	扩
挙	举
挿	插
捜	搜
掲	揭
掻	搔
揺	摇
摂	摄
撃	击
撹	搅
斉	齐
斎	斋
晩	晚
暁	晓
暦	历
曁	暨
曽	曾
査	查
栄	荣
桜	樱
桟	栈
検	检
楡	榆
楽	乐
様	样
権	权
歓	欢
歩	步
歯	齿
歳	岁
歴	历
殻	壳
毎	每
気	气
汚	污
沢	泽
浄	净
涙	泪
渇	渴
済	济
渉	涉
渋	涩
渓	溪
満	满
溌	泼
滝	泷
瀬	濑
為	为
焔	焰
焼	烧
犠	牺
猟	猎
獣	兽
産	产
畳	叠
疎	疏
痩	瘦
痺	痹
発	发
皐	皋
県	县
砕	碎
稜	棱
稲	稻
穂	穗
穏	稳
穣	穰
竃	灶
竜	龙
粋	粹
粛	肃
粧	妆
経	经
絵	绘
絶	绝
継	继
続	续
総	总
緑	绿
縁	缘
縄	绳
縦	纵
繊	纤
繋	系
繍	绣
聡	聪
聴	听
脳	脑
臓	脏
舎	舍
舗	铺
茘	荔
荘	庄
蔵	藏
薫	薰
薬	药
蛍	萤
蝋	蜡
覇	霸
覚	觉
覧	览
観	观
訳	译
証	证
説	说
読	读
謡	谣
譲	让
豊	丰
賛	赞
贋	赝
転	转
軽	轻
輌	辆
辺	边
逓	递
遅	迟
遙	遥
郷	乡
酔	醉
醗	酦
醤	酱
醸	酿
釈	释
鉄	铁
鉱	矿
銭	钱
鋳	铸
錬	炼
録	录
鑛	矿
関	关
閲	阅
闘	斗
陥	陷
険	险
隠	隐
雑	杂
霊	灵
頴	颖
頼	赖
顔	颜
顕	显
駅	驿
駆	驱
騒	骚
験	验
髄	髓
髪	发
鴎	鸥
鶏	鸡
鹸	碱
黒	黑
黙	默
鼈	鳖
齢	龄
